Категория;Группа;Артикул;Модель;Цена;Ссылка
"1_Электроинструмент";"05_Пилы";"4933471496";"M18FBS85-0C COMP. BAND SAW BARE KIT XXX";"36990";
"1_Электроинструмент";"05_Пилы";"4933471497";"M18FBS85-202C COMP. BAND SAW 2AH KIT IN2";"52990";
"1_Электроинструмент";"07_Мультитулы";"4933446203";"M18BMT0  MULTI HEADS TOOL    XXX";"18990";
"1_Электроинструмент";"07_Мультитулы";"4933446210";"M18BMT421C     MULTI HEADS TOOL     IN2";"39990";
"1_Электроинструмент";"09_Приборы освещения";"4933478118";"M18HOAL-0 HIGH OUTPUT  AREA LIGHT IN2";"26990";
"1_Электроинструмент";"09_Приборы освещения";"4933478116";"M18HOSALC-0 HG.O.STAND A.LT.CHARGER IN2";"54490";
"1_Электроинструмент";"09_Приборы освещения";"4933459162";"M18ONESLDP0 AREA LIGHT FR2";"96490";
"1_Электроинструмент";"09_Приборы освещения";"4933464105";"M18PAL0 AREA LIGHT XXX";"14990";
"1_Электроинструмент";"09_Приборы освещения";"4933478120";"M18POALC-0 PACKOUT AREA Lt. CHARGER IN2";"29490";
"1_Электроинструмент";"13_Нейлеры";"4933451958";"M18CN16GA0X BTY. NAILER XXX";"64490";
"1_Электроинструмент";"13_Нейлеры";"4933451570";"M18CN16GA202X BTY. Nailer IN2";"79990";
"1_Электроинструмент";"13_Нейлеры";"4933478993";"Framing Nailer M18 FFN21-0C";"57990";
"1_Электроинструмент";"15_Наборы";"4933464594";"M18BLPP2B2502X MID SIZE COMBI KIT IN2";"41490";
"1_Электроинструмент";"16_Аккумуляторы и зарядные устройства";"4932471736";"M12-18SCEU M12/M18 SUPER CHARGER IN2";"22000";
"1_Электроинструмент";"16_Аккумуляторы и зарядные устройства";"4932430086";"M1418C6   BATTERY CHARGER (1418V)  IN2";"13500";
"2_Садовая техника";"17_Триммеры";"4933472218";"M18BLLT-0 M18 BRUSHLESS LINE TRIMMER XXX";"29490";
"1_Электроинструмент";"26_Звук и связь";"4933472112";"M18PRCDAB+-0 EU M18 RADIO IN2";"46990";
"1_Электроинструмент";"35_Пневмоинструмент";"4933472166";"M18FAC-0 FUEL AIR COMPRESSOR XXX";"51990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933441771";"HD18PXPH06202C 230V EXPANDER        IN2";"93490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933441774";"HD18PXPH10202C 230V EXPANDER        IN2";"93490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933464299";"M18ONEBLPXPL502C BTY. EXPANDER IN2";"217990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933478248";"M18BLHPT-0C M18 PRESSTOOL 0-VERSION XXX";"194490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933479440";"M18 XL Presstool 0-Version";"255990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933479441";"M18 XL Presstool Battery kit version";"282490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933471949";"M18HDCT-0C HYDR.DIELESS CRIMP.TOOL XXX";"359490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933471950";"M18HDCT-202C HYDR.DIELESS CRIMP.TOOL IN2";"375490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933471813";"M18HUP700-121 HYDR. UTILITY PUMP IN2";"514490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933478305";"M18 ONEBLHPT-0C ONEKEY PRESSTOOL 0 XXX";"206990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933478306";"M18 ONEBLHPT-302C ONEKEY PRESSTOOL 0 IN2";"228990";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933478310";"M18ONEBLHPT-302C M-SET PRESST.M JAW IN2";"283490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933478307";"M18 ONEBLHPT-302C TH-SET PRESST. JAW IN2";"283490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933478309";"M18ONEBLHPT-302C U-SET PRESST.U JAW IN2";"283490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933478308";"M18 ONEBLHPT-302C V-SET PRESST.V JAW IN2";"283490";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4933471953";"M18FPFT-202 36M ST SET F TAPE ST. IN2";"59990";
"1_Электроинструмент";"50_Фрезеры";"4933479073";"M18 Trim Router";"35990";
"1_Электроинструмент";"51_Рубанки и рейсмусы";"4933451114";"M18BP402C      BATTERY PLANER       IN2";"56490";
"1_Электроинструмент";"56_Прочистка труб";"4933478408";"M18FCSSM-0 M18 FUEL SEWER MACHINE XXX";"141490";
"1_Электроинструмент";"56_Прочистка труб";"4933478407";"M18FCSSM-121 M18 FUEL SEWER MACHINE IN2";"164990";
"1_Электроинструмент";"56_Прочистка труб";"4933471411";"M18FSSM-0 FUEL SECT. SEWER MACHINE XXX";"237990";
"1_Электроинструмент";"56_Прочистка труб";"4933471410";"M18FSSM-121 FUEL SECT. SEW. MACHINE IN2";"261490";
"1_Электроинструмент";"61_Диагностика и инспекция";"4933471413";"M18SIC36-0 SEWER INSP. CAMERA 36M XXX";"539490";
"1_Электроинструмент";"61_Диагностика и инспекция";"4933471412";"M18SIC60-0 SEWER INSP. CAMERA 60M XXX";"659490";
"1_Электроинструмент";"61_Диагностика и инспекция";"4933471414";"M18 SEWER CAMERA MONITOR XXX";"233990";
"1_Электроинструмент";"61_Диагностика и инспекция";"4933471415";"M18SISH-0 M18 SEWER INSP. SMART HUB XXX";"263990";
"1_Электроинструмент";"80_Прочие инструменты";"4933479643";"M18 TOWER LIGHT BAG";"5490";
"1_Электроинструмент";"80_Прочие инструменты";"4933478601";"M18ONEFPRT-0X RIVET TOOL XXX";"65490";
"1_Электроинструмент";"80_Прочие инструменты";"4933478602";"M18ONEFPRT-202X RIVET TOOL IN2";"80490";
"1_Электроинструмент";"05_Пилы";"4933416860";"HD28SX0         M28 SAWZALL         XXX";"23490";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479102";"Rubber sleeve for M12FID (1pcs)";"2400";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479100";"Rubber sleeve for M12FIR38 (1pcs)";"2000";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932478758";"Rubber sleeve for M12FIWF (1pcs)";"2500";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479098";"Rubber sleeve for M12FRAIWF38 + WF12 1pc";"2400";
"1_Электроинструмент";"01_Дрели и шуруповерты";"49162767";"Rubber sleeve for M18FHIWF12502X  1pc";"3700";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479103";"Rubber sleeve for M18FID2 +M18ONEID (1pcs)";"2900";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932478770";"RBR. sleeve for M18FIW2F+M18FIW2P- 1pc";"2200";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932478771";"RBR.sleeve M18FMTIW2F+M18FMTIW2P 1pc";"2600";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932478760";"Rubber sleeve for M18ONEFHIWF1 - 1pc";"5600";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479099";"Rubber sleeve for M12FHIR14 + R38 1pcs";"2000";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479101";"Rubber sleeve for M12FIR12 (1pcs)";"2000";
"1_Электроинструмент";"01_Дрели и шуруповерты";"4932479097";"Rubber sleeve for M12FIR38LR (1pcs)";"2000";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"49902340";"M12DE FILTER SET3PC";"2500";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"49902342";"M18DE Filter Set1pcSET";"1600";
"1_Электроинструмент";"02_Перфораторы и отбойные молотки";"4932378478";"YOKE YOKE AEG";"100";
"1_Электроинструмент";"03_Шлифмашины";"4932478759";"Rubber sleeve for M12FDGA (1pcs)";"1300";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4932459689";"AS 30/42 FLEECE FILTER BAGS  5PCS";"4500";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4932478814";"Dry Filter HEPA M18  FCVL replacement";"1900";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4932478754";"DRY FILTER HEPA UNIVERSAL REPLACEMENT";"2000";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4932478762";"Fleece Filter Bag 3.5 l 3pcs";"1300";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4932478802";"Wet Filter Universal replacement";"2000";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4932479620";"Remote Controller ";"4900";
"1_Электроинструмент";"04_Пылесосы и воздуходувки";"4932478965";"Remote Control Socket";"12500";
"1_Электроинструмент";"05_Пилы";"4932479066";"Guide Rail";"12500";
"1_Электроинструмент";"05_Пилы";"4932479068";"Guide Rail Clamps";"4500";
"1_Электроинструмент";"05_Пилы";"4932479069";"Guide Rail Connector";"5000";
"1_Электроинструмент";"05_Пилы";"4932479070";"Splinter Strip";"2400";
"1_Электроинструмент";"05_Пилы";"4932479071";"Guide Rail Bag";"5600";
"1_Электроинструмент";"05_Пилы";"4932479072";"Low Friction Strip";"1900";
"1_Электроинструмент";"05_Пилы";"4932478816";"Sawzall Pipe Clamp";"42700";
"1_Электроинструмент";"05_Пилы";"4932479243";"Pipe Cutter Stainless Steel Wheels 2pc";"2900";
"1_Электроинструмент";"08_Шлифовка";"4932346182";"CHIP BAG (CLOTH)    125/150MM     P1 A/M";"4700";
"1_Электроинструмент";"13_Нейлеры";"4932471605";"FNA-1 FRAMING NAILER EXTENDED MAGAZINE";"7800";
"1_Электроинструмент";"21_Стенды и верстаки";"4933478992";"Miter Saw Legstand";"31600";
"1_Электроинструмент";"22_Лазеры";"4932478108";"HI-VIS Target Plate";"1100";
"1_Электроинструмент";"22_Лазеры";"4932478104";"Line Laser Detector";"16400";
"1_Электроинструмент";"22_Лазеры";"4932478105";"360 Laser Mount";"5500";
"1_Электроинструмент";"22_Лазеры";"4932479555";"Line/Rotary Laser Detector, red/green";"31600";
"1_Электроинструмент";"22_Лазеры";"4932478959";"1,2 meter Tripod";"7500";
"1_Электроинструмент";"22_Лазеры";"4932478106";"1.8 meter Tripod";"7600";
"1_Электроинструмент";"23_Измерительные приборы";"49771004";"TESTER";"4400";
"1_Электроинструмент";"38_Оборудование для хранения";"4931411254";"CONTRACTORBAG MIL SIZE L(WITHOUT WHEELS)";"3300";
"1_Электроинструмент";"38_Оборудование для хранения";"4931411958";"CONTRACTORBAG MIL SIZE M(WITHOUT WHEELS)";"2700";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932472151";"16mm Expander Head for 6&10Bar";"6500";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932472152";"20mm Expander Head for 6 Bar";"6500";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932472153";"20mm Expander Head for 10 Bar";"6500";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932472271";"25mm Expander Head for 6 Bar";"6500";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932472272";"25mm Expander Head for 10 Bar";"6500";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932472273";"32mm Expander Head for 6 Bar";"6500";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932472150";"9.9mm Expander Head for 6&10Bar";"6500";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932352716";"HEAD                PXPH12I14EX. H P1M";"5500";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932430103";"HEAD                 PXPH 16I1406 Exp H";"5500";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932430102";"HEAD                PXPH 9.9144/8 Exp.";"5500";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932352727";"HEAD                PXPH15N14 Ex. H P1M";"5500";
"1_Электроинструмент";"39_Инструменты высокой мощности";"4932352717";"HEAD                PXPH16I14 Ex. H P1M";"5500";
