Категория;Группа;Артикул;Модель;Цена;Ссылка
"1_Электроинструмент";05_Пилы;4933472111;"Акк. циркулярная пила по металлу 66 мм M18FMCS66-121C FUEL";85490;cirkulyarnye-pily
"1_Электроинструмент";05_Пилы;4933471496;"Акк. компактная ленточная пила M18FBS85-0C";36990;lentochnye-pily
"1_Электроинструмент";05_Пилы;4933471497;"Акк. компактная ленточная пила M18FBS85-202C";52990;lentochnye-pily
"1_Электроинструмент";07_Мультитулы;4933446203;"Акк. мультиинструмент M18 BMT-0";18990;multiinstrument
"1_Электроинструмент";07_Мультитулы;4933446210;"Акк. мультиинструмент M18 BMT-421C (Li-Ion2Ач/4Ач)";39990;multiinstrument
"1_Электроинструмент";09_Приборы освещения;4933478118;"Акк. высокомощный фонарь M18 HOAL-0";26990;fonari
"1_Электроинструмент";09_Приборы освещения;4933478116;"Акк. высокомощная мачта освещения с функцией зарядного устройства M18 HOSALC-0";54490;fonari
"1_Электроинструмент";09_Приборы освещения;4933459162;"Акк. светодиодный фонарь с зарядным устройством M18 ONESLDP-0 ONE-KEY с возможностью работы от сети";96490;fonari
"1_Электроинструмент";09_Приборы освещения;4933464105;"Акк. фонарь с шарнирным световым блоком M18 PAL-0";14990;fonari
"1_Электроинструмент";09_Приборы освещения;4933478120;"Акк. фонарь с функцией зарядного устройства на базе PACKOUT M18 POALC-0";29490;fonari
"1_Электроинструмент";13_Нейлеры;4933451958;"Акк. гвоздезабиватель M18 CN16GA-0X FUEL";64490;gvozdezabivateli
"1_Электроинструмент";13_Нейлеры;4933451570;"Акк. гвоздезабиватель M18 CN16GA-202X FUEL (Li-Ion2Ач)";79990;gvozdezabivateli
"1_Электроинструмент";13_Нейлеры;4933478993;"Акк. гвоздезабиватель M18 FFN21-0C";57990;gvozdezabivateli
"1_Электроинструмент";15_Наборы;4933464594;"Набор инструментов M18 BLPP2B2-502X (Li-Ion5Ач)";41490;nabory-instrumentov
"1_Электроинструмент";16_Аккумуляторы и зарядные устройства;4932471736;"Зарядное устройство M12-18SCEU";22000;akkumulyatory
"1_Электроинструмент";16_Аккумуляторы и зарядные устройства;4932430086;"Зарядное устройство M1418C6";13500;akkumulyatory
"2_Садовая техника";17_Триммеры;4933472218;"Акк. триммер M18BLLT-0 FUEL";29490;trimmery
"1_Электроинструмент";26_Звук и связь;4933472112;"Акк. радио DAD+/зарядное устройство M18PRCDAB+-0";46990;radio
"1_Электроинструмент";35_Пневмоинструмент;4933472166;"Акк. компрессор M18FAC-0 FUEL";51990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933441771;"Акк. расширитель для труб HD18PXP-H06202C";93490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933441774;"Акк. расширитель для труб HD18PXP-H10202C";93490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933464299;"Акк. расширитель для труб M18ONEBLPXPL-502C ONE-KEY FUEL";217990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933478248;"Акк. гидравлический инструмент для обжима M18BLHPT-0C";194490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933479440;"Акк. XL инструмент для обжима для труб M18 BLHPTXL-0C";255990;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933479441;"Акк. XL инструмент для обжима для труб M18 BLHPTXL-502C";282490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933471949;"Акк. гидравлический обжимный инструмент M18 HDCT-0C";359490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933471950;"Акк. гидравлический обжимный инструмент M18 HDCT-202C (Li-Ion2ач)";375490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933471813;"Акк. вспомогательный гидравлический насос M18 HUP700-121 (Li-Ion12Ач)";514490;silovoy-instrument
"1_Электроинструмент";39_Инструменты высокой мощности;4933478305;"Акк. инструмент для обжима труб M18 ONEBLHPT-0C";206990;silovoy-instrument
